timestamp,liquidity_usd,price_usd
0,100000.00,0.5
5,99611.11,0.49805556
10,99222.22,0.49611111
15,98833.33,0.49416667
20,98444.44,0.49222222
25,98055.56,0.49027778
30,97666.67,0.48833333
35,97277.78,0.48638889
40,96888.89,0.48444444
45,96500.00,0.4825
50,96111.11,0.48055556
55,95722.22,0.47861111
60,95333.33,0.47666667
65,94944.44,0.47472222
70,94555.56,0.47277778
75,94166.67,0.47083333
80,93777.78,0.46888889
85,93388.89,0.46694444
90,93000.00,0.465
95,92611.11,0.46305556
100,92222.22,0.46111111
105,91833.33,0.45916667
110,91444.44,0.45722222
115,91055.56,0.45527778
120,90666.67,0.45333333
125,90277.78,0.45138889
130,89888.89,0.44944444
135,89500.00,0.4475
140,89111.11,0.44555556
145,88722.22,0.44361111
150,88333.33,0.44166667
155,87944.44,0.43972222
160,87555.56,0.43777778
165,87166.67,0.43583333
170,86777.78,0.43388889
175,86388.89,0.43194444
180,86000.00,0.43
185,85611.11,0.42805556
190,85222.22,0.42611111
195,84833.33,0.42416667
200,84444.44,0.42222222
205,84055.56,0.42027778
210,83666.67,0.41833333
215,83277.78,0.41638889
220,82888.89,0.41444444
225,82500.00,0.4125
230,82111.11,0.41055556
235,81722.22,0.40861111
240,81333.33,0.40666667
245,80944.44,0.40472222
250,80555.56,0.40277778
255,80166.67,0.40083333
260,79777.78,0.39888889
265,79388.89,0.39694444
270,79000.00,0.395
275,78611.11,0.39305556
280,78222.22,0.39111111
285,77833.33,0.38916667
290,77444.44,0.38722222
295,77055.56,0.38527778
300,76666.67,0.38333333
305,76277.78,0.38138889
310,75888.89,0.37944444
315,75500.00,0.3775
320,75111.11,0.37555556
325,74722.22,0.37361111
330,74333.33,0.37166667
335,73944.44,0.36972222
340,73555.56,0.36777778
345,73166.67,0.36583333
350,72777.78,0.36388889
355,72388.89,0.36194444
360,72000.00,0.36
365,71611.11,0.35805556
370,71222.22,0.35611111
375,70833.33,0.35416667
380,70444.44,0.35222222
385,70055.56,0.35027778
390,69666.67,0.34833333
395,69277.78,0.34638889
400,68888.89,0.34444444
405,68500.00,0.3425
410,68111.11,0.34055556
415,67722.22,0.33861111
420,67333.33,0.33666667
425,66944.44,0.33472222
430,66555.56,0.33277778
435,66166.67,0.33083333
440,65777.78,0.32888889
445,65388.89,0.32694444
450,65000.00,0.325
455,64611.11,0.32305556
460,64222.22,0.32111111
465,63833.33,0.31916667
470,63444.44,0.31722222
475,63055.56,0.31527778
480,62666.67,0.31333333
485,62277.78,0.31138889
490,61888.89,0.30944444
495,61500.00,0.3075
500,61111.11,0.30555556
505,60722.22,0.30361111
510,60333.33,0.30166667
515,59944.44,0.29972222
520,59555.56,0.29777778
525,59166.67,0.29583333
530,58777.78,0.29388889
535,58388.89,0.29194444
540,58000.00,0.29
545,57611.11,0.28805556
550,57222.22,0.28611111
555,56833.33,0.28416667
560,56444.44,0.28222222
565,56055.56,0.28027778
570,55666.67,0.27833333
575,55277.78,0.27638889
580,54888.89,0.27444444
585,54500.00,0.2725
590,54111.11,0.27055556
595,53722.22,0.26861111
600,53333.33,0.26666667
605,52944.44,0.26472222
610,52555.56,0.26277778
615,52166.67,0.26083333
620,51777.78,0.25888889
625,51388.89,0.25694444
630,51000.00,0.255
635,50611.11,0.25305556
640,50222.22,0.25111111
645,49833.33,0.24916667
650,49444.44,0.24722222
655,49055.56,0.24527778
660,48666.67,0.24333333
665,48277.78,0.24138889
670,47888.89,0.23944444
675,47500.00,0.2375
680,47111.11,0.23555556
685,46722.22,0.23361111
690,46333.33,0.23166667
695,45944.44,0.22972222
700,45555.56,0.22777778
705,45166.67,0.22583333
710,44777.78,0.22388889
715,44388.89,0.22194444
720,44000.00,0.22
725,43611.11,0.21805556
730,43222.22,0.21611111
735,42833.33,0.21416667
740,42444.44,0.21222222
745,42055.56,0.21027778
750,41666.67,0.20833333
755,41277.78,0.20638889
760,40888.89,0.20444444
765,40500.00,0.2025
770,40111.11,0.20055556
775,39722.22,0.19861111
780,39333.33,0.19666667
785,38944.44,0.19472222
790,38555.56,0.19277778
795,38166.67,0.19083333
800,37777.78,0.18888889
805,37388.89,0.18694444
810,37000.00,0.185
815,36611.11,0.18305556
820,36222.22,0.18111111
825,35833.33,0.17916667
830,35444.44,0.17722222
835,35055.56,0.17527778
840,34666.67,0.17333333
845,34277.78,0.17138889
850,33888.89,0.16944444
855,33500.00,0.1675
860,33111.11,0.16555556
865,32722.22,0.16361111
870,32333.33,0.16166667
875,31944.44,0.15972222
880,31555.56,0.15777778
885,31166.67,0.15583333
890,30777.78,0.15388889
895,30388.89,0.15194444
